open,high,low,volume,close
1.17064,1.17347,1.17064,97234.2012,1.17232
1.17241,1.17241,1.16757,91587.6992,1.16906
1.16902,1.16979,1.16376,92162.498,1.16539
1.16534,1.16573,1.16005,309180.1055,1.16138
1.16114,1.16155,1.15511,375177.7968,1.1604
1.16025,1.16025,1.15722,94387.2012,1.15806
1.15824,1.15946,1.1542,100623.7988,1.15898
1.15898,1.15945,1.15589,88942.2012,1.15874
1.15868,1.16033,1.15204,89964.0996,1.15424
1.15423,1.15561,1.15081,310059.0039,1.15452
1.15441,1.15741,1.15365,376193.8985,1.15429
1.15444,1.15642,1.15391,93060.7988,1.15442
1.15446,1.15581,1.15399,98988.8008,1.1552
1.15518,1.15636,1.15324,88403.502,1.15417
1.15429,1.15811,1.15377,90162.0996,1.15743
1.15723,1.1577,1.14927,311871.3965,1.14956
1.14952,1.15171,1.14766,372860.9024,1.15171
1.15188,1.15188,1.14913,93895.0996,1.15028
1.15007,1.15196,1.14953,98128.8008,1.1516
1.15164,1.15253,1.14955,89567.3984,1.15201
1.15218,1.15459,1.15084,91182,1.15371
1.15371,1.15925,1.15354,311415.1016,1.15879
1.15919,1.16215,1.15173,370251.2969,1.15398
1.15449,1.15523,1.15208,94402.5,1.15354
1.15346,1.15434,1.15169,94609,1.15364
1.15358,1.15368,1.14833,89708.3008,1.15101
1.15074,1.15087,1.14338,91297.8008,1.14404
1.14374,1.14567,1.142,305747.293,1.14292
1.14292,1.14531,1.1414,377294.8985,1.14181
1.14215,1.14291,1.1412,95276.5996,1.14257
1.14252,1.14533,1.14219,97341.002,1.14486
1.14492,1.14545,1.1406,90524.8008,1.14144
1.14116,1.14405,1.1402,90671.2012,1.14228
1.14226,1.14675,1.13994,310647.0996,1.14177
1.14237,1.14324,1.14074,370356.6992,1.14254
1.14308,1.14382,1.14099,93814.5996,1.14153
1.14168,1.14412,1.14141,96419.8984,1.14344
1.14355,1.146,1.14238,85787.1992,1.14553
1.14504,1.14581,1.13974,90195.3008,1.14277
1.14278,1.15018,1.14209,308576.4063,1.14994
1.15014,1.15141,1.14719,373270.703,1.15116
1.15154,1.15336,1.15025,93724.5996,1.15185
1.15214,1.15408,1.15094,96315,1.15136
1.15142,1.15493,1.15056,93260.7012,1.1537
1.15376,1.15672,1.15243,90695.1972,1.15456
1.15423,1.16079,1.15261,305286.4981,1.15772
1.1579,1.15872,1.15549,373451,1.15608
1.15619,1.15684,1.1554,92759.5,1.15545
1.15525,1.15573,1.15396,92156.1992,1.15498
1.15458,1.15624,1.15243,90669.9004,1.15338
1.1532,1.15537,1.15256,90857.0996,1.15321
1.15315,1.15511,1.15049,309479.7969,1.15237
1.15224,1.15447,1.15083,375853.0039,1.15396
1.15415,1.15443,1.15215,95989.4004,1.15272
1.15264,1.15292,1.15134,97849.9004,1.15197
1.15194,1.1529,1.14715,93500.8984,1.14754
1.14683,1.14773,1.14326,93425.8008,1.14537
1.14537,1.15397,1.14474,309561.9961,1.15029
1.15018,1.15067,1.14738,379440.3985,1.14945
1.14935,1.15019,1.14787,96655.6992,1.14829
1.14787,1.14825,1.14615,96218.7988,1.14684
1.14683,1.14796,1.14566,89106.3984,1.14741
1.14773,1.14885,1.14571,93412,1.14583
1.14582,1.14907,1.14472,309361.7051,1.14894
1.14902,1.14943,1.1483,369028.9023,1.14892
1.1487,1.149,1.14583,98004.7988,1.1468
1.14684,1.14707,1.1452,94404.7012,1.14566
1.14526,1.14653,1.14099,89612.002,1.14119
1.14131,1.1428,1.13498,92117.9004,1.13629
1.13622,1.13664,1.13288,307113.9004,1.13409
1.1339,1.13418,1.13132,376872.7969,1.13252
1.13247,1.13297,1.13097,95938.0996,1.13237
1.13224,1.13262,1.13077,94942,1.13232
1.13221,1.13474,1.131,91479.8984,1.13152
1.13146,1.13192,1.12641,90902.4004,1.13161
1.13165,1.13508,1.12611,315466.6953,1.12641
1.12636,1.13177,1.12587,374345.7032,1.13151
1.13177,1.13236,1.13052,94794.1016,1.13118
1.13127,1.13304,1.13047,97904.5996,1.13194
1.13172,1.13396,1.13113,89463.7988,1.13253
1.13222,1.13667,1.13186,91545.5996,1.13517
1.13488,1.13604,1.1309,310423.2988,1.13115
1.13212,1.13548,1.13124,371747.5,1.13481
1.13479,1.13598,1.13308,95886,1.13347
1.13319,1.13554,1.1314,96971.1016,1.13348
1.13323,1.13642,1.1329,90439.7012,1.13573
1.13547,1.13574,1.13098,92830.9004,1.13419
1.13417,1.13907,1.13213,314469.8965,1.13873
1.13855,1.13924,1.137,377151.2929,1.13891
1.13877,1.13908,1.13377,94614.3008,1.13504
1.13499,1.13531,1.12972,97651,1.13104
1.13151,1.13369,1.13106,91907.9004,1.13331
1.13341,1.13461,1.13006,90921.3984,1.13014
1.12978,1.13194,1.12759,308391.5977,1.13043
1.13019,1.13202,1.12943,374620.3008,1.1299
1.12934,1.1298,1.12646,95982.7012,1.12745
1.12737,1.12829,1.12632,95489,1.12696
1.12693,1.12822,1.12426,87542.2988,1.12641
1.12646,1.13066,1.12521,88679.9004,1.12968
1.12935,1.1308,1.12731,307066.4961,1.12967
1.12959,1.12993,1.12667,371492.8008,1.12779
1.12777,1.12885,1.12688,94809.8008,1.12727
1.12732,1.1277,1.12522,95932.3008,1.12537
1.1256,1.12983,1.1254,91750.5,1.12832
1.12831,1.13369,1.12729,89989.9004,1.13237
1.13203,1.13337,1.12258,307090.2051,1.12323
1.12244,1.12341,1.1156,372405.8985,1.11858
1.11845,1.11876,1.11306,94189.3984,1.11341
1.11307,1.11549,1.11123,97283.498,1.11482
1.11501,1.11743,1.11218,91554.7988,1.11294
1.11263,1.11667,1.11238,90177.3984,1.11375
1.11347,1.12197,1.11246,308716.3984,1.12074
1.12094,1.12315,1.11817,377655.7969,1.12068
1.12119,1.12335,1.12038,95384.3008,1.12175
1.12138,1.12282,1.1202,98052.3984,1.12175
1.12205,1.1238,1.12042,92182.4004,1.12343
1.12309,1.12488,1.12191,93025,1.124
1.12402,1.12447,1.11562,312928.8985,1.11634
1.11622,1.12247,1.11583,371347.1991,1.12079
1.12045,1.12663,1.11967,94793.5,1.12373
1.12366,1.1244,1.12167,97233.6992,1.12346
1.12342,1.1244,1.12212,90494.2988,1.1224
1.12226,1.12273,1.11795,90576.8008,1.11902
1.1188,1.12377,1.11717,309210.0977,1.1236
1.12411,1.13032,1.12304,375570.8984,1.12746
1.12685,1.12685,1.12411,96990.0976,1.12621
1.126,1.12944,1.12576,98372.6016,1.12863
1.12834,1.12891,1.12552,91236.4004,1.12628
1.12606,1.12997,1.12593,92058.1992,1.12729
1.12694,1.13439,1.12642,306499.7949,1.13377
1.13411,1.13546,1.13201,375294.1953,1.13495
1.13461,1.1357,1.1328,95935.2012,1.13398
1.13375,1.13385,1.13058,96001,1.13205
1.1322,1.13521,1.13132,89271.5996,1.13491
1.13543,1.13734,1.13458,90525.9004,1.13494
1.13478,1.13672,1.13186,291348.2012,1.13254
1.13237,1.13454,1.13135,374962.0001,1.13315
1.13267,1.13344,1.13139,94445.5,1.13199
1.13201,1.13576,1.13198,98712.4004,1.1352
1.13521,1.1389,1.13499,90229.2988,1.13869
1.13862,1.14158,1.13709,91409.2988,1.14131
1.14116,1.14898,1.13953,314222.4942,1.1481
1.14837,1.14892,1.14605,378649.3945,1.14754
1.14835,1.14926,1.14723,92433.7012,1.14815
1.14829,1.14848,1.14654,96319.7012,1.1478
1.14757,1.15101,1.14704,92936.6992,1.15054
1.15059,1.15088,1.14691,88978.0996,1.1472
1.14688,1.14855,1.14233,313818.7969,1.144
1.14368,1.14734,1.14267,369853.1914,1.14695
1.14749,1.14783,1.14587,93794.7012,1.14606
1.14604,1.14732,1.14545,94619.8008,1.1462
1.14629,1.15032,1.14452,88804.498,1.14916
1.14903,1.15041,1.14659,93491.3008,1.14833
1.14835,1.15487,1.14439,309665.3965,1.15124
1.1509,1.15245,1.15002,375640.2968,1.15079
1.15084,1.15134,1.14734,95672.6016,1.14884
1.14866,1.14956,1.14641,98027.9004,1.14728
1.14752,1.15174,1.14551,88549.3008,1.1513
1.15146,1.15182,1.14515,90155.6992,1.14838
1.1484,1.15155,1.14713,311435.5918,1.15048
1.15043,1.15111,1.14855,372065.5976,1.14909
1.14947,1.14992,1.14816,93673.9004,1.14881
1.14868,1.15075,1.14782,95201.8984,1.15031
1.1504,1.1533,1.14961,91555.6016,1.15122
1.15104,1.15141,1.14612,94540.998,1.1474
1.14687,1.1538,1.1451,307067.0938,1.1467
1.14652,1.14883,1.1454,371685.2969,1.14589
1.14572,1.1461,1.14282,94085.8008,1.14427
1.14438,1.14516,1.14375,95335.5,1.14399
1.14383,1.14447,1.14244,89896.8008,1.14413
1.14396,1.14484,1.13974,91338.4004,1.14082
1.14049,1.14167,1.13512,308730.6934,1.13664
1.1367,1.1379,1.13352,378641.8985,1.13426
1.13437,1.13713,1.13376,95205.1016,1.13437
1.13419,1.13617,1.13319,96391.0996,1.13384
1.13336,1.13447,1.1316,91056.5996,1.13269
1.13262,1.13358,1.12873,90770,1.13094
1.13088,1.13317,1.12237,310819.3067,1.12331
1.12323,1.12473,1.12252,379065.004,1.12428
