,high error,low error,close error,0
3165,686.7939453125146,27.328125,307.28662109375,307.28662109375
3166,28.498046875,184.09716796875,52.455078125,52.455078125
3167,236.26171875,156.45166015625,104.76904296876455,104.76904296876455
3168,195.26171875,370.5224609375,601.23681640625,601.23681640625
3169,160.28369140625,16.025390625,33.78808593748545,33.78808593748545
3170,25.42333984375,347.2177734375,380.34765625,380.34765625
3171,83.521484375,92.4326171875,392.7587890625,392.7587890625
3172,309.61230468751455,96.416015625,160.25585937498545,160.25585937498545
3173,22.2607421875,194.3330078125,34.083984375,34.083984375
3174,260.2578125,31.73046875,95.09033203125,95.09033203125
3175,72.4765625,116.623046875,21.504882812514552,21.504882812514552
3176,104.4833984375,356.39648437501455,556.5166015625,556.5166015625
3177,357.91699218748545,80.947265625,182.61816406248545,182.61816406248545
3178,193.43359375,166.88964843748545,38.9443359375,38.9443359375
3179,116.70703125,90.6064453125,52.27832031251455,52.27832031251455
3180,120.05859374998545,301.4326171875,105.05078124998545,105.05078124998545
3181,195.185546875,443.591796875,444.763671875,444.763671875
3182,178.9384765625,245.8828125,298.822265625,298.822265625
3183,13.809570312485448,102.966796875,56.6064453125,56.6064453125
3184,74.70703124998545,10.0703125,128.3486328125,128.3486328125
3185,10.4228515625,86.99609375,68.3486328125,68.3486328125
3186,244.64453125,111.84277343748545,408.89160156251455,408.89160156251455
3187,179.44824218751455,143.8193359375,12.750976562485448,12.750976562485448
3188,125.33593749998545,184.42968749998545,54.345703125,54.345703125
3189,74.6103515625,207.751953125,208.65624999998545,208.65624999998545
3190,4.73046875,40.0244140625,352.728515625,352.728515625
3191,31.3603515625,3.130859374985448,70.4482421875,70.4482421875
3192,300.6103515625,56.154296875,31.744140625014552,31.744140625014552
3193,286.83593749998545,138.001953125,163.052734375,163.052734375
3194,186.0869140625,14.700195312514552,168.1982421875,168.1982421875
3195,26.546875,93.4912109375,395.9677734375,395.9677734375
3196,263.33886718751455,93.61816406251455,8.49609375,8.49609375
3197,236.34765625,141.271484375,74.20214843748545,74.20214843748545
3198,152.55957031251455,67.689453125,34.71289062498545,34.71289062498545
3199,230.5595703125,160.859375,38.12011718748545,38.12011718748545
3200,23.302734375014552,18.03515625,173.31542968748545,173.31542968748545
3201,222.71679687498545,98.5068359375,639.2412109374854,639.2412109374854
3202,165.77441406251455,200.30859375,418.0283203125,418.0283203125
3203,129.5302734375,88.359375,121.806640625,121.806640625
3204,96.2353515625,29.673828125014552,15.791992187514552,15.791992187514552
3205,13.35546875,127.435546875,174.9296875,174.9296875
3206,247.95507812498545,116.083984375,262.94921875,262.94921875
3207,49.2822265625,857.6689453125,576.08203125,576.08203125
3208,209.85839843751455,178.1357421875,117.4814453125,117.4814453125
3209,120.25,134.67578125,22.4013671875,22.4013671875
3210,217.66210937501455,196.34374999998545,202.15625,202.15625
3211,120.96484374998545,11.4423828125,19.880859375,19.880859375
3212,175.8076171875,34.31933593751455,22.552734375,22.552734375
3213,226.1416015625,250.87402343748545,235.24316406248545,235.24316406248545
3214,0.060546875014551915,227.287109375,308.06054687498545,308.06054687498545
3215,118.25390624998545,12.0849609375,24.9541015625,24.9541015625
3216,132.95117187498545,10.82421875,45.0419921875,45.0419921875
3217,114.31640625,72.32519531251455,54.09375,54.09375
3218,157.31640624998545,141.9697265625,92.5546875,92.5546875
3219,293.796875,141.333984375,226.5439453125,226.5439453125
3220,23.03515625,37.06347656248545,20.1279296875,20.1279296875
3221,108.96484375,209.783203125,128.72265625,128.72265625
3222,28.3388671875,5.98046875,151.6943359375,151.6943359375
3223,685.6347656250146,181.921875,736.353515625,736.353515625
