,last open10,last high10,last low10,last open9,last high9,last low9,last open8,last high8,last low8,last open7,last high7,last low7,last open6,last high6,last low6,last open5,last high5,last low5,last open4,last high4,last low4,last open3,last high3,last low3,last open2,last high2,last low2,last open1,last high1,last low1,last open,last high,last low,Open,High,Low,Close
33,1.36655,1.37049,1.36406,1.36887,1.36936,1.3678,1.36883,1.37091,1.35974,1.36062,1.3625,1.35238,1.353,1.35319,1.34127,1.34292,1.34464,1.33594,1.3425,1.3546,1.33691,1.3476,1.3489,1.34705,1.34734,1.35076,1.34573,1.3471,1.35203,1.34485,1.34635,1.35576,1.34459,1.35477,1.35879,1.35324,1.3561
34,1.36887,1.36936,1.3678,1.36883,1.37091,1.35974,1.36062,1.3625,1.35238,1.353,1.35319,1.34127,1.34292,1.34464,1.33594,1.3425,1.3546,1.33691,1.3476,1.3489,1.34705,1.34734,1.35076,1.34573,1.3471,1.35203,1.34485,1.34635,1.35576,1.34459,1.35477,1.35879,1.35324,1.35613,1.36828,1.35497,1.36725
35,1.36883,1.37091,1.35974,1.36062,1.3625,1.35238,1.353,1.35319,1.34127,1.34292,1.34464,1.33594,1.3425,1.3546,1.33691,1.3476,1.3489,1.34705,1.34734,1.35076,1.34573,1.3471,1.35203,1.34485,1.34635,1.35576,1.34459,1.35477,1.35879,1.35324,1.35613,1.36828,1.35497,1.36745,1.36814,1.36612,1.36777
36,1.36062,1.3625,1.35238,1.353,1.35319,1.34127,1.34292,1.34464,1.33594,1.3425,1.3546,1.33691,1.3476,1.3489,1.34705,1.34734,1.35076,1.34573,1.3471,1.35203,1.34485,1.34635,1.35576,1.34459,1.35477,1.35879,1.35324,1.35613,1.36828,1.35497,1.36745,1.36814,1.36612,1.36777,1.36852,1.36303,1.36343
37,1.353,1.35319,1.34127,1.34292,1.34464,1.33594,1.3425,1.3546,1.33691,1.3476,1.3489,1.34705,1.34734,1.35076,1.34573,1.3471,1.35203,1.34485,1.34635,1.35576,1.34459,1.35477,1.35879,1.35324,1.35613,1.36828,1.35497,1.36745,1.36814,1.36612,1.36777,1.36852,1.36303,1.3634,1.36799,1.35698,1.3574
38,1.34292,1.34464,1.33594,1.3425,1.3546,1.33691,1.3476,1.3489,1.34705,1.34734,1.35076,1.34573,1.3471,1.35203,1.34485,1.34635,1.35576,1.34459,1.35477,1.35879,1.35324,1.35613,1.36828,1.35497,1.36745,1.36814,1.36612,1.36777,1.36852,1.36303,1.3634,1.36799,1.35698,1.3576,1.36802,1.3557,1.36682
39,1.3425,1.3546,1.33691,1.3476,1.3489,1.34705,1.34734,1.35076,1.34573,1.3471,1.35203,1.34485,1.34635,1.35576,1.34459,1.35477,1.35879,1.35324,1.35613,1.36828,1.35497,1.36745,1.36814,1.36612,1.36777,1.36852,1.36303,1.3634,1.36799,1.35698,1.3576,1.36802,1.3557,1.36671,1.3672,1.35883,1.36674
40,1.3476,1.3489,1.34705,1.34734,1.35076,1.34573,1.3471,1.35203,1.34485,1.34635,1.35576,1.34459,1.35477,1.35879,1.35324,1.35613,1.36828,1.35497,1.36745,1.36814,1.36612,1.36777,1.36852,1.36303,1.3634,1.36799,1.35698,1.3576,1.36802,1.3557,1.36671,1.3672,1.35883,1.36669,1.37191,1.36158,1.36279
41,1.34734,1.35076,1.34573,1.3471,1.35203,1.34485,1.34635,1.35576,1.34459,1.35477,1.35879,1.35324,1.35613,1.36828,1.35497,1.36745,1.36814,1.36612,1.36777,1.36852,1.36303,1.3634,1.36799,1.35698,1.3576,1.36802,1.3557,1.36671,1.3672,1.35883,1.36669,1.37191,1.36158,1.36276,1.36349,1.36223,1.36308
42,1.3471,1.35203,1.34485,1.34635,1.35576,1.34459,1.35477,1.35879,1.35324,1.35613,1.36828,1.35497,1.36745,1.36814,1.36612,1.36777,1.36852,1.36303,1.3634,1.36799,1.35698,1.3576,1.36802,1.3557,1.36671,1.3672,1.35883,1.36669,1.37191,1.36158,1.36276,1.36349,1.36223,1.36299,1.36541,1.36017,1.36109
